rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.8472319801648456,13.081211392,1.5576941967010498,4.747860980375087
16,32,3686400,3.7984558582305907,12.481788928,1.5160831212997437,4.55435137131404
64,128,14745600,3.8480655392011007,13.864755712,1.476814866065979,4.378975820309134
